Name,Notes,Latitude,Longitude,Method,Google Maps URL
Dropped pin,,42.3138478,-75.3999672,Direct KML URL,"https://www.google.com/maps/search/42.3138478,-75.3999672"
Dorthie Land boat ramp,,29.8833808,-82.889122,Google canonical URL + verified,https://www.google.com/maps/place/Dorthie+Land+boat+ramp/data=!4m2!3m1!1s0x88e8d5e6f916f1e5:0xcd0b87d8bcebd4c9
Honeywell Canoe and Kayak Launch,,43.0780443,-76.2284228,Google canonical URL + verified,https://www.google.com/maps/place/Honeywell+Canoe+and+Kayak+Launch/data=!4m2!3m1!1s0x89d9f1c32cb2eb81:0x2fbee96d605675fb
ken lynch boat launch,,43.0724605,-76.2054882,Google canonical URL + verified,https://www.google.com/maps/place/ken+lynch+boat+launch/data=!4m2!3m1!1s0x89d9f175d5ebe5cd:0x2c152bfd0d97fbf0
Dropped pin,,43.0394467,-77.1540665,Direct KML URL,"https://www.google.com/maps/search/43.0394467,-77.1540665"
Macedon Canal Park,,43.072683,-77.3019278,Google canonical URL + verified,https://www.google.com/maps/place/Macedon+Canal+Park/data=!4m2!3m1!1s0x89d12cb09fe16a7b:0x7ebb36aa8d21cd94
Riverview Picnic Area,,42.6124886,-72.4784086,Google canonical URL + verified,https://www.google.com/maps/place/Riverview+Picnic+Area/data=!4m2!3m1!1s0x89e13af737747987:0x9cf496a8f88c6c0f
Au Sable River Whirlpool Rd Access,,44.6664928,-84.61705,Google canonical URL + verified,https://www.google.com/maps/place/Au+Sable+River+Whirlpool+Rd+Access/data=!4m2!3m1!1s0x88201333480ebe45:0xedeeab5384a7f4c6
Whirlpool Angler Access,,44.4323903,-83.3908985,Google canonical URL + verified,https://www.google.com/maps/place/Whirlpool+Angler+Access/data=!4m2!3m1!1s0x88273a27b5f50ca3:0x5ed6c29c612fc715
Finish Line Park,,44.4158226,-83.3302595,Google canonical URL + verified,https://www.google.com/maps/place/Finish+Line+Park/data=!4m2!3m1!1s0x88273c0c0da02f87:0x3fb1fa783fb7c978
Luzerne Park Boat Ramp,,44.6754269,-84.2725303,Google canonical URL + verified,https://www.google.com/maps/place/Luzerne+Park+Boat+Ramp/data=!4m2!3m1!1s0x882063745a2241f5:0xfc193221b8c3b93d
John B Sargeant Sr Park,,28.0799219,-82.285506,Google canonical URL + verified,https://www.google.com/maps/place/John+B+Sargeant+Sr+Park/data=!4m2!3m1!1s0x88c2ca0a851e1577:0x2114e5fb133e6bf8
Hillsborough River State Park,,28.1426507,-82.227154,Google canonical URL + verified,https://www.google.com/maps/place/Hillsborough+River+State+Park/data=!4m2!3m1!1s0x88c2b4c89a3fd72b:0xf59a82c2814509d3
S Thendara Rd,,44.669221,-84.6067408,Google canonical URL + verified,https://www.google.com/maps/place/S+Thendara+Rd/data=!4m2!3m1!1s0x882013352584658b:0x6c24fc063ae58ae0
Louies Landing Rd,,44.6654506,-84.6375225,Google canonical URL + verified,https://www.google.com/maps/place/Louies+Landing+Rd/data=!4m2!3m1!1s0x8820137275eae4c3:0xc6612d025e963718
Dropped pin,,43.7110185,-75.3988853,Direct KML URL,"https://www.google.com/maps/search/43.7110185,-75.3988853"
Dropped pin,,42.3151769,-75.4143844,Direct KML URL,"https://www.google.com/maps/search/42.3151769,-75.4143844"
Hal W. Adams boat ramp,,30.0986094,-83.1709332,Google canonical URL + verified,https://www.google.com/maps/place/Hal+W.+Adams+boat+ramp/data=!4m2!3m1!1s0x88eec940404946e5:0x70e4811b3d96a607
Ampersand Bay Public Boat Launch,,44.3260846,-74.1548262,Google canonical URL + verified,https://www.google.com/maps/place/Ampersand+Bay+Public+Boat+Launch/data=!4m2!3m1!1s0x4ccb1b0012941fd3:0xa94783659d7fc167
Dropped pin,,44.1963505,-74.4621828,Direct KML URL,"https://www.google.com/maps/search/44.1963505,-74.4621828"
Quais municipaux pour les embarcations non-motorisées,,46.5412293,-72.7420101,Google canonical URL + verified,https://www.google.com/maps/place/Quais+municipaux+pour+les+embarcations+non-motoris%C3%A9es/data=!4m2!3m1!1s0x4cc64dc05789d9ad:0x90c8a66e47b3906f
Taylor Park,,44.5711774,-75.1641722,Google canonical URL + verified,https://www.google.com/maps/place/Taylor+Park/data=!4m2!3m1!1s0x4cccf5f98cd69b09:0xb3d5f7c85e3e373a
Genesee Waterways Center,,43.12285,-77.636561,Google canonical URL + verified,https://www.google.com/maps/place/Genesee+Waterways+Center/data=!4m2!3m1!1s0x89d6b4b389bd4537:0xa82ab002bfe74b15
Lake Ontario Sand Beach,,43.2384122,-77.5640113,Google canonical URL + verified,https://www.google.com/maps/place/Lake+Ontario+Sand+Beach/data=!4m2!3m1!1s0x89d6b7cf05916d9b:0xf9d5d5416f5c6fcf
Irondequoit Bay Small Boat Harbor,,43.2346972,-77.5349721,Google canonical URL + verified,https://www.google.com/maps/place/Irondequoit+Bay+Small+Boat+Harbor/data=!4m2!3m1!1s0x89d6c8465e95041b:0x72f02c6e56a462fc
Irondequoit Bay Park West Boat Launch,,43.1831655,-77.5277495,Google canonical URL + verified,https://www.google.com/maps/place/Irondequoit+Bay+Park+West+Boat+Launch/data=!4m2!3m1!1s0x89d6ca27e17f01a5:0x1ee3e86661b113a3
Schroon River Fishing Access (Route 74),,43.8738142,-73.7415551,Google canonical URL + verified,https://www.google.com/maps/place/Schroon+River+Fishing+Access+(Route+74)/data=!4m2!3m1!1s0x4ccab564aa92a399:0xbf9472cb1348c2be
Canoe kayak launch,,44.3306578,-74.1261546,Google canonical URL + verified,https://www.google.com/maps/place/Canoe+kayak+launch/data=!4m2!3m1!1s0x4ccb1b4e64fa4b55:0x6e5c57ea64a0ca6e
"43°09'29.0""N 76°20'12.2""W",,43.158067,-76.336732,Direct KML URL,"https://www.google.com/maps/search/43.158067,-76.336732"
"42°54'08.0""N 76°51'27.5""W",,42.90223,-76.857635,Direct KML URL,"https://www.google.com/maps/search/42.90223,-76.857635"
